Year,Name,Cat
2004,ALEX,Cat2
2004,BONNIE,TS
2004,CHARLEY,Cat4
2004,DANIELLE,Cat1
2004,EARL,TS
2004,FRANCES,Cat3
2004,GASTON,TS
2004,HERMINE,TS
2004,IVAN,Cat4
2004,JEANNE,Cat2
2004,KARL,Cat3
2004,LISA,TS
2004,MATTHEW,TS
2004,NICOLE,TS
2004,OTTO,TS
2005,ARLENE,TS
2005,BRET,TD
2005,CINDY,TS
2005,DENNIS,Cat4
2005,EMILY,Cat4
2005,FRANKLIN,TS
2005,GERT,TS
2005,HARVEY,TS
2005,IRENE,Cat1
2005,TEN,TD
2005,JOSE,TS
2005,KATRINA,Cat4
2005,LEE,TD
2005,MARIA,Cat2
2005,NATE,Cat1
2005,OPHELIA,Cat1
2005,PHILIPPE,TS
2005,RITA,Cat4
2005,NINETEEN,TD
2005,STAN,TS
2005,TAMMY,TS
2005,TWENTY-TWO,TS
2005,VINCE,TS
2005,WILMA,Cat5
2005,ALPHA,TS
2005,BETA,Cat2
2005,GAMMA,TS
2005,DELTA,TS
2005,EPSILON,Cat1
2005,ZETA,TS
2006,ALBERTO,TS
2006,BERYL,TS
2006,CHRIS,TS
2006,DEBBY,TS
2006,ERNESTO,TS
2006,FLORENCE,Cat1
2006,GORDON,Cat2
2006,HELENE,Cat2
2006,ISAAC,Cat1
2007,ANDREA,TS
2007,BARRY,TS
2007,CHANTAL,TS
2007,DEAN,Cat4
2007,ERIN,TS
2007,FELIX,Cat4
2007,GABRIELLE,TS
2007,INGRID,TS
2007,HUMBERTO,Cat1
2007,TEN,TD
2007,JERRY,TD
2007,KAREN,TS
2007,LORENZO,TS
2007,MELISSA,TD
2007,FIFTEEN,TS
2007,NOEL,Cat1
2007,OLGA,TS
2008,ARTHUR,TS
2008,BERTHA,Cat2
2008,CRISTOBAL,TS
2008,DOLLY,Cat1
2008,EDOUARD,TS
2008,FAY,TS
2008,GUSTAV,Cat4
2008,HANNA,Cat1
2008,IKE,Cat3
2008,JOSEPHINE,TS
2008,KYLE,Cat1
2008,LAURA,TS
2008,MARCO,TS
2008,NANA,TD
2008,OMAR,Cat3
2008,SIXTEEN,TD
2008,PALOMA,Cat3
2009,ONE,TD
2009,ANA,TD
2009,BILL,Cat3
2009,CLAUDETTE,TS
2009,DANNY,TS
2009,ERIKA,TS
2009,FRED,Cat2
2009,EIGHT,TD
2009,GRACE,TS
2009,HENRI,TS
2009,IDA,Cat1
2010,ALEX,Cat1
2010,TWO,TD
2010,BONNIE,TS
2010,COLIN,TS
2010,FIVE,TD
2010,DANIELLE,Cat3
2010,EARL,Cat3
2010,FIONA,TS
2010,GASTON,TD
2010,HERMINE,TS
2010,IGOR,Cat4
2010,JULIA,Cat3
2010,KARL,Cat2
2010,LISA,Cat1
2010,MATTHEW,TS
2010,NICOLE,TS
2010,OTTO,Cat1
2010,PAULA,Cat1
2010,RICHARD,Cat1
2010,SHARY,TS
2010,TOMAS,Cat1
2011,ARLENE,TS
2011,BRET,TS
2011,CINDY,TS
2011,DON,TS
2011,EMILY,TS
2011,FRANKLIN,TS
2011,GERT,TS
2011,HARVEY,TS
2011,IRENE,Cat2
2011,TEN,TD
2011,JOSE,TS
2011,KATIA,Cat3
2011,LEE,TS
2011,MARIA,TS
2011,NATE,TS
2011,OPHELIA,Cat3
2011,PHILIPPE,Cat1
2011,RINA,Cat2
2011,SEAN,TS
2012,ALBERTO,TS
2012,BERYL,TS
2012,CHRIS,Cat1
2012,DEBBY,TS
2012,ERNESTO,Cat1
2012,FLORENCE,TS
2012,HELENE,TS
2012,GORDON,Cat1
2012,ISAAC,TS
2012,JOYCE,TD
2012,KIRK,Cat1
2012,LESLIE,TS
2012,MICHAEL,Cat2
2012,NADINE,Cat1
2012,OSCAR,TS
2012,PATTY,TS
2012,RAFAEL,Cat1
2012,SANDY,Cat2
2012,TONY,TS
2013,ANDREA,TS
2013,BARRY,TS
2013,CHANTAL,TS
2013,DORIAN,TS
2013,ERIN,TS
2013,FERNAND,TS
2013,GABRIELLE,TS
2013,EIGHT,TD
2013,HUMBERTO,Cat1
2013,INGRID,Cat1
2013,JERRY,TS
2013,KAREN,TS
2013,LORENZO,TS
2013,MELISSA,TS
2014,ARTHUR,Cat1
2014,TWO,TD
2014,BERTHA,TS
2014,CRISTOBAL,Cat1
2014,DOLLY,TS
2014,EDOUARD,Cat2
2014,FAY,TS
2014,GONZALO,Cat3
2014,HANNA,TD
2015,ANA,TS
2015,BILL,TS
2015,CLAUDETTE,TS
2015,DANNY,Cat2
2015,ERIKA,TS
2015,FRED,Cat1
2015,GRACE,TS
2015,HENRI,TS
2015,NINE,TD
2015,IDA,TS
2015,JOAQUIN,Cat4
2015,KATE,Cat1
2016,ALEX,Cat1
2016,BONNIE,TS
2016,COLIN,TS
2016,DANIELLE,TS
2016,EARL,Cat1
2016,FIONA,TS
2016,GASTON,Cat2
2016,EIGHT,TD
2016,HERMINE,TS
2016,IAN,TS
2016,JULIA,TS
2016,KARL,TS
2016,LISA,TS
2016,MATTHEW,Cat4
2016,NICOLE,Cat3
2016,OTTO,Cat2
2017,ARLENE,TS
2017,BRET,TS
2017,CINDY,TS
2017,FOUR,TD
2017,DON,TS
2017,EMILY,TS
2017,FRANKLIN,Cat1
2017,GERT,Cat1
2017,HARVEY,Cat3
2017,IRMA,Cat4
2017,JOSE,Cat4
2017,KATIA,Cat1
2017,LEE,Cat2
2017,MARIA,Cat4
2017,NATE,Cat1
2017,OPHELIA,Cat2
2017,PHILIPPE,TD
2017,RINA,TS
2018,ALBERTO,TS
2018,BERYL,TS
2018,CHRIS,Cat1
2018,DEBBY,TS
2018,ERNESTO,TS
2018,FLORENCE,Cat4
2018,GORDON,TS
2018,HELENE,Cat1
2018,ISAAC,TS
2018,JOYCE,TS
2018,ELEVEN,TD
2018,KIRK,TS
2018,LESLIE,Cat1
2018,MICHAEL,Cat4
2018,NADINE,TS
2018,OSCAR,Cat1
2019,ANDREA,TD
2019,BARRY,TS
2019,THREE,TD
2019,CHANTAL,TD
2019,DORIAN,Cat5
2019,ERIN,TD
2019,FERNAND,TS
2019,GABRIELLE,TS
2019,HUMBERTO,Cat2
2019,JERRY,Cat1
2019,IMELDA,TS
2019,KAREN,TS
2019,LORENZO,Cat4
2019,MELISSA,TS
2019,FIFTEEN,TD
2019,NESTOR,TS
2019,OLGA,TS
2019,PABLO,TS
2019,REBEKAH,TS
2019,SEBASTIEN,TS
2020,ARTHUR,TS
2020,BERTHA,TS
2020,CRISTOBAL,TS
2020,DOLLY,TS
2020,EDOUARD,TS
2020,FAY,TS
2020,GONZALO,TS
2020,HANNA,Cat1
2020,ISAIAS,Cat1
2020,TEN,TD
2020,JOSEPHINE,TS
2020,KYLE,TS
2020,LAURA,Cat4
2020,MARCO,TS
2020,OMAR,TD
2020,NANA,TS
2020,PAULETTE,Cat1
2020,RENE,TS
2020,SALLY,Cat1
2020,TEDDY,Cat3
2020,VICKY,TS
2020,BETA,TS
2020,WILFRED,TD
2020,ALPHA,TS
2020,GAMMA,TS
2020,DELTA,Cat3
2020,EPSILON,Cat2
2020,ZETA,Cat2
2020,ETA,Cat4
2020,THETA,TS
2020,IOTA,Cat4
2021,ANA,TS
2021,BILL,TS
2021,CLAUDETTE,TS
2021,DANNY,TS
2021,ELSA,Cat1
2021,FRED,TS
2021,GRACE,Cat2
2021,HENRI,TS
2021,IDA,Cat4
2021,KATE,TS
2021,JULIAN,TS
2021,LARRY,Cat2
2021,MINDY,TS
2021,NICHOLAS,TS
2021,ODETTE,TS
2021,PETER,TS
2021,ROSE,TS
2021,SAM,Cat4
2021,TERESA,TS
2021,VICTOR,TS
2021,WANDA,TS
2022,ALEX,TS
2022,BONNIE,Cat2
2022,COLIN,TD
2022,DANIELLE,Cat1
2022,EARL,Cat1
2022,FIONA,Cat3
2022,GASTON,TS
2022,IAN,Cat4
2022,HERMINE,TD
2022,ELEVEN,TD
2022,TWELVE,TD
2022,JULIA,Cat1
2022,KARL,TS
2022,LISA,Cat1
2022,MARTIN,Cat1
2022,NICOLE,TS
