Year,Name,Cat,Start_date,End_date
1995,ROXANNE,Cat2,1995-10-07T18,1995-10-21T00
1995,SEBASTIEN,TS,1995-10-20T12,1995-10-25T00
1995,TANYA,Cat1,1995-10-27T00,1995-11-03T00
1996,ARTHUR,TS,1996-06-17T18,1996-06-23T00
1996,BERTHA,Cat2,1996-07-05T00,1996-07-17T06
1996,CESAR,Cat1,1996-07-24T18,1996-07-28T18
1996,DOLLY,TS,1996-08-19T06,1996-08-25T00
1996,EDOUARD,Cat3,1996-08-19T18,1996-09-06T18
1996,FRAN,Cat2,1996-08-23T12,1996-09-10T00
1996,GUSTAV,TS,1996-08-26T00,1996-09-02T00
1996,HORTENSE,Cat3,1996-09-03T12,1996-09-16T06
1996,ISIDORE,Cat2,1996-09-24T12,1996-10-02T12
1996,JOSEPHINE,TS,1996-10-04T18,1996-10-16T00
1996,KYLE,TS,1996-10-11T12,1996-10-12T18
1996,LILI,Cat2,1996-10-14T12,1996-10-29T00
1996,MARCO,TS,1996-11-13T12,1996-11-26T18
1997,ANA,TS,1997-06-30T12,1997-07-05T00
1997,BILL,TS,1997-07-11T06,1997-07-13T06
1997,CLAUDETTE,TS,1997-07-13T00,1997-07-16T18
1997,DANNY,TS,1997-07-16T12,1997-07-27T12
1997,ERIKA,Cat2,1997-09-03T06,1997-09-19T18
1997,FABIAN,TS,1997-10-04T18,1997-10-08T18
1997,GRACE,TS,1997-10-14T12,1997-10-17T12
1998,ALEX,TS,1998-07-27T12,1998-08-02T18
1998,BONNIE,Cat2,1998-08-19T12,1998-08-31T06
1998,CHARLEY,TS,1998-08-21T06,1998-08-24T00
1998,DANIELLE,Cat1,1998-08-24T06,1998-09-08T06
1998,EARL,Cat1,1998-08-31T12,1998-09-08T12
1998,FRANCES,TS,1998-09-08T18,1998-09-13T18
1998,GEORGES,Cat4,1998-09-15T12,1998-10-01T06
1998,HERMINE,TS,1998-09-17T12,1998-09-20T18
1998,IVAN,Cat1,1998-09-19T00,1998-09-27T18
1998,JEANNE,Cat1,1998-09-21T06,1998-10-04T12
1998,KARL,Cat1,1998-09-23T12,1998-09-29T18
1998,LISA,TS,1998-10-05T00,1998-10-10T00
1998,MITCH,Cat4,1998-10-22T00,1998-11-09T18
1998,NICOLE,Cat1,1998-11-24T00,1998-12-02T12
1999,ARLENE,TS,1999-06-11T18,1999-06-18T00
1999,BRET,Cat3,1999-08-18T18,1999-08-25T00
1999,CINDY,Cat3,1999-08-19T00,1999-08-31T12
1999,DENNIS,Cat1,1999-08-24T00,1999-09-08T18
1999,EMILY,TS,1999-08-24T06,1999-08-28T12
1999,FLOYD,Cat4,1999-09-07T18,1999-09-19T12
1999,GERT,Cat4,1999-09-11T12,1999-09-23T12
1999,HARVEY,TS,1999-09-19T06,1999-09-22T00
1999,IRENE,Cat1,1999-10-12T12,1999-10-19T18
1999,JOSE,Cat1,1999-10-17T18,1999-10-25T12
1999,KATRINA,TD,1999-10-28T18,1999-11-01T12
1999,LENNY,Cat4,1999-11-13T18,1999-11-23T06
2000,ALBERTO,Cat2,2000-08-03T18,2000-08-25T06
2000,BERYL,TS,2000-08-13T18,2000-08-15T18
2000,CHRIS,TD,2000-08-17T12,2000-08-19T12
2000,DEBBY,Cat1,2000-08-19T18,2000-08-24T12
2000,ERNESTO,TD,2000-09-01T12,2000-09-03T18
2000,FLORENCE,TS,2000-09-10T18,2000-09-17T18
2000,GORDON,TS,2000-09-14T12,2000-09-21T06
2000,HELENE,TS,2000-09-15T12,2000-09-25T18
2000,ISAAC,Cat3,2000-09-21T12,2000-10-04T06
2000,JOYCE,Cat1,2000-09-25T12,2000-10-02T06
2000,KEITH,Cat3,2000-09-28T18,2000-10-06T12
2000,LESLIE,TS,2000-10-04T12,2000-10-10T18
2000,MICHAEL,Cat1,2000-10-15T12,2000-10-20T18
2000,NADINE,TS,2000-10-19T12,2000-10-22T12
2001,ALLISON,TS,2001-06-05T12,2001-06-19T00
2001,BARRY,TS,2001-08-02T12,2001-08-08T06
2001,CHANTAL,TS,2001-08-14T18,2001-08-22T12
